"pinf I1","p_n cvge => u_n cvge vers 1"
"pinf I2","p_n = n+1 : diverge"
"pinf I31","simpli en 2^n sin(a)"
"pinf I32","p_n -> sin(a) / a"
"pinf II1a","existence n_0 def cvgce"
"pinf II1b1","S_n cvge => p_n cvge"
"pinf II1b2","p_n cvge => S_n cvge"
"pinf II1b3","p_n -> ??"
"pinf II2a","TAF (ln x)^2 entre p et p+1"
"pinf II2b","S_n et p_n divergent"
"pinf III1a","ln(1+x)<x pour x>0"
"pinf III1b","S'_n cvge => p_n cvge"
"pinf III2","S'_n dvge vers +infty"
"pinf III3a","dvge vers +infty"
"pinf III3bi","p_n cvge (en ajoutant des trucs)"
"pinf III3bii","p_n cvge vers 1/(1-a^2)"
