"pisot I1","theta_0 de Pisot"
"pisot I2a","unique racine tq .. avec t var"
"pisot I2b","theta_1 de Pisot"
"pisot I2c","theta_1/(theta_1 - 1) = ..."
"pisot I3a","tableau de v de P_2 et csq"
"pisot I3b","P_2(-1/theta_2)< 0"
"pisot I3c","theta_2 de Pisot"
"pisot I4a","racine dans ]1;theta_0["
"pisot I4b1","reste div P_2 par P_1"
"pisot I4b2","reste div P_3 par P_2"
"pisot I4b3","reste div P_{n+1} par P_n"
"pisot I4b4","suite theta_n croiss."
"pisot I4c","suite theta_n converge vers theta_0"
"pisot II1","alg Euclide"
"pisot II2a","caractériser de deux manières racine en comm"
"pisot II2b","theta_1^2 de Pisot et pol"
"pisot II3","theta_1^3 de Pisot et pol"
"pisot III1a1","S_1 = 0"
"pisot III1a2","S_2 = 2"
"pisot III1a3","S_{-1} = -1"
"pisot III1b1","S_3 = 3"
"pisot III1b2","S_n = S_{n-2} + S_{n-3}"
"pisot III2a","|sin x | <= |x|"
"pisot III2b1","sin ^2 <= ..."
"pisot III2b2","somme sin^2 <= ..."
"pisot III3","produit cos converge"
"pisot III4","inégalité avec les s_i"
"pisot III5a","pdt cos avec -k"
"pisot III5b","pdt cos avec k"
"pisot III5c1","suite Gamma -> AB"
"pisot III5c2","Gammane cvge pas vers 0"
