"Eplanstab qp","vp <=> rac pol carac"
"Eplanstab I11","U_1tilde"
"Eplanstab I12","U_2tilde"
"Eplanstab I21","(u*(x)/y==(x/u(y))"
"Eplanstab I22","ker u*"
"Eplanstab I23","Im u*"
"Eplanstab I3a","u*(x \wedge y)"
"Eplanstab I3b","Cond sur v => v=u^tilde"
"Eplanstab I4a1","Id^tilde = Id"
"Eplanstab I4a2","lambda^2 u^tilde"
"Eplanstab I4b"," tilde du composé"
"Eplanstab I4c","bij et bij réciproque"
"Eplanstab I4d","u double tilde"
"Eplanstab I5a","Utilde = com(U)"
"Eplanstab I5b","u* o u^tilde = ..."
"Eplanstab I5c","u* tilde = u tilde *"
"Eplanstab I61","rg u = 1 => u tilde nul"
"Eplanstab I62","rg u =2 => rg u tilde =1"
"Eplanstab I63","rg u =2 => Im u tilde = orth (Im u)"
"Eplanstab I64","rg u =2 => ker u tilde = orth(ker u)"
"Eplanstab I71","pas linéaire"
"Eplanstab I72","pas injective"
"Eplanstab I73","pas surjective"
"Eplanstab II11","x wedge y propre"
"Eplanstab II12","vp = det( restriction de u)"
"Eplanstab II2a","existence bon+"
"Eplanstab II2b","Vect(x;y) stable"
"Eplanstab II3a","0 vp de u <=> 0 vp de u tilde"
"Eplanstab II3b","P stbl par u <=> stbl par u -lambda Id"
"Eplanstab II3c1","recherche P stable cas bijectif"
"Eplanstab II3c2 ,"recherche P stable cas non bijectif"
"Eplanstab II4a1","P_1 = -(X-1)^3"
"Eplanstab II4a2","P_2 = -X^2(X-2)"
"Eplanstab II4b1","u_1: orth(e1-e2+e3)"
"Eplanstab II4b2","u_2: orth(e1+2e2+e3)"
