"plouffe I11","x_n positif"
"plouffe I12","convergence x_n 16^{-n}"
"plouffe I2","encadrement du reste"
"plouffe II1a1","a_n = 16^{-n}q_n"
"plouffe II1a2","b_n = 16^{-n}r_n/v"
"plouffe II1b","coeff n : reste de q_n mod 16" 
"plouffe I1c","coeffn+1 : quotient div de 16 r_n par v"
"plouffe I21","suite des restes : 2 2 2 ..."
"plouffe I22","dev hexad : 3.222..."
"plouffe I3a1","tableau : ligne x_1"
"plouffe I3a2","tableau : ligne x_2"
"plouffe I3a3","tableau : ligne eps_2"
"plouffe I3b","dev hex s = 3.24"
"plouffe I41","encadrement formel"
"plouffe I42","3.13970 < s < 3.14454"
"plouffe II1a1","intégrale c^{8n+l+1}/(8n+l+1)"
"plouffe II1a2","choisir c=1/\sqrt{2}"
"plouffe II1b","convergence de la série"
"plouffe II2a","inégalité"
"plouffe II2b","majoration reste géométrique avec a"
"plouffe II2c","somme série = intégrale"
"plouffe II3","s = intégrale"
"plouffe II41","Racines 8-ième unité"
"plouffe II42","factorisation dans R[X]"
"plouffe II43","s: simplification fraction"
"plouffe II44","s: chgt v x = \sqrt{2}t"
"plouffe II5","calcul décomposition"
"plouffe II61","calculs primitives"
"plouffe II62","s = pi"
