"polorth1 I1a","produit scalaire"
"polorth1 I1b1","c_n : 0 ou 2/(n+1)"
"polorth1 I1b2","Delta1 = 4/3"
"polorth1 I1b3","Delta2 = 32/135"
"polorth1 I1b4","D1 = 2X"
"polorth1 I1b5","D2 = (4/3)(X^2-1/3)"
"polorth1 I1b6","D3 = -32 X/225 + 32 X^3/135"
"polorth1 I2"1,"suite de polynômes orthogonaux"
"polorth1 I22","coeff dominant : Delta_{n-1}"
"polorth1 I3a","P_n orth aux pol de d°<n"
"polorth1 I3b","lambda P_n"
"polorth1 I3c","deux suites de polynômes orth."
"polorth1 I4a","D_n=Delta_{n-1}Q_n"
"polorth1 I4b1","(Q_n/X^n)=||Q_n||^2"
"polorth1 I4b2","Delta_n/Delta_{n-1}"
"polorth1 I5a","existence alpha_n beta_n gamma_n"
"polorth1 I5b","existence a_n et b_n"
"polorth1 II1","L_n = Q_n/Q_n(1)"
"polorth1 II2","Montrer que L_n(-x)= (-1)^n L_n(x)"
"polorth1 II3","Montrer que beta_n = 0"
"polorth1 II41","expression alpha_n"
"polorth1 II42","expression gamma_n"
"polorth1 II5","relation"
"polorth1 II61","||L_n||^2 = 1/(2n+1)"
"polorth1 II62","relation récurrence"
