"popovi I1","Intersection racines alpha beta"
"popovi I2","{k-x} = 1-{x}"
"popovi I3","racines et multiplicités"
"popovi I4a","partie polaire pour a"
"popovi I4b","partie polaire en 1"
"popovi II1","existence et unicité des deux"
"popovi II2a","Mq alpha^{-1}alpha - beta^{-1}beta=1"
"popovi II2b","solutions de E_n"
"popovi II3a","expression s_n"
"popovi II3b","Thm Popoviciu"
"popovi II4","s_100=1 (6;4)"
"popovi III1","forme décomp elts simples"
"popovi III2a","A_k et B_k"
"popovi III2b","parties réelles et imaginaires de A_k"
"popovi III3a","S(1) et S'(1)"
"popovi III3b","expression de v"
"popovi III4","expression c_n"
"popovi IV1","existence et unicité (A;B)"
"popovi IV21","relation"
"popovi IV22","en déduire c_n=s_n"
"popovi IV3","valeurs des sommes -51 et 0"
