"postbert I11","pi(n): 1 2 2 3 3 4 4 4 4 5 5 6 6"
"postbert I12","E((n-1)/2) impairs entre 17 et n"
"postbert I13","n>=14 => pi(n)<= n/2 -1"
"postbert I21","E(2x)-2E(x) = 0 ou 1"
"postbert I22","E(2x)=2E(x)ssi0<={x}<1/2"
"postbert I31","dev des 4 termes de ln(Tx))"
"postbert I32","T -> + infty"
"postbert I41","p premier divise n! => p <= n"
"postbert I42","p premier divise (n parmi 2n) => p <= 2n"
"postbert I5","n<=4: négatif; n>=5: positif"
"postbert I6","a et b prem entre eux div m => ab div m"
"postbert II1a","k parmi 2k+1 <= 4^k"
"postbert II1b","p prem entre k+2 et 2(k+1) div k parmi 2k+1"
"postbert II1c","pdt des prem entre k+2 et 2k+1 <= 4^k"
"postbert II1d","P_n <= 4^n (récurrence forte)"
"postbert II2a","lambda_n = 2(2n+1)/(n+1)"
"postbert II2b","inégalité par étude fonction"
"postbert II2c","inégalité par récurrence technique"
"postbert III1a","max v_p = E(ln(n)/ln(p))"
"postbert III1b","V_p(2n)-V_p(n) = 0 ou 1"
"postbert III2","Nb multiples : E(n/q)"
"postbert III3a","v_p(m)=i ssi p^i div et pas p^{i+1}"
"postbert III3b","nb de m tq v_p(m)=i: E(n/p^i) - E(n/p^{i+1})"
"postbert III3c","v_p(n!) somme de parties entières"
"postbert III41","v_2(100!) = 97"
"postbert III42","v_5(100!) = 24"
"postbert III43","24 zéros à la fin de 100!"
"postbert IV1","expression de v_p(n parmi 2n) comme somme"
"postbert IV21","p^{v_p} <= 2n"
"postbert IV22","sqrt(2n)<=p => v_p <= 1"
"postbert IV23","(2n)/3< p <= n => v_p = "
"postbert V1","R_n divise n parmi 2n"
"postbert V21","div prem de Q_n <= 2n/3"
"postbert V22","majoration de Q_n"
"postbert V31","minoration de R_n"
"postbert V32","conclusion par limite infinie"
