"proba1 I1a","proba union"
"proba1 I1b","A rate et (B ou C réussisent) : 2/9"
"proba1 I1c","A réussit et (B ou C réussisent) : 4/9"
"proba1 I2a","AB_n" impossible"
"proba1 I2b","ABC_{n+1} sachant ABC_n : 1/9"
"proba1 I2c","BC_{n+1} sachant ABC_n : 2/9 et idem"
"proba1 I2d"," 0 ; 0 ; 4/9 "
"proba1 I2e"," 4/9 ; 1/3 ; 1/9 ; 1/6"
"proba1 I2f"," 0 ; 1/6 ; 2/9 " 
"proba1 I3a"," p(T_1) = 4/9"
"proba1 I3b"," 1/9^n"
"proba1 I3c","2^{n-k}/9^n"
"proba1 I3d","2/3^{n+k+1}"
"proba1 I3e1","p(pas terminé après epreuve n)"
"proba1 I3e2","p(T_n)"
"proba1 I3f","limite 51/28"
"proba1 I4a1","A gagne après ep. 1 impossible"
"proba1 I4a2","A gagne après ep. n >=2"
"proba1 I4b","A g après n: 4(2/9)^n-8(1/9)^n"
"proba1 I4c","A g : 1/7"
"proba1 I4d","B g : 1/8"
"proba1 I4d","C g : 67/112"
"proba1 II1a","matrice"
"proba1 II2a","produit par blocs"
"proba1 II2b","matrices U et V"
"proba1 II2c","expression de M^n"
"proba1 II3a1","V_1 = (1; -1; -2)"
"proba1 II3a2","V_2 = (0; 0; 1)"
"proba1 II3a1","V_3 = (0; 1; 0)"
"proba1 II3b","matrices P et D"
"proba1 II4a","D^n et somme"
"proba1 II4b","matrices limites: 0 et 9/8 0 0 ..."
"proba1 II4c","limites"
"proba1 II4d","retrouver limites"
