"proba2 I1a1","méthode calcul rang"
"proba2 I1a2","lambda = 27 rg = 2"
"proba2 I1a2","lambda = 18 rg = 3"
"proba2 I1a3","lambda = 6 rg = 3"
"proba2 I1a4","autres lambda rg 4"
"proba2 I1b1","M diagonalisable"
"proba2 I1b2","matrice D"
"proba2 I21","base de E_{27}"
"proba2 I22","E18: (1 -1 -1 1)"
"proba2 I23","E6: (-1 3 -3 1)"
"proba2 I24","matrices P et D"
"proba2 I3a","P Delta^n P^{-1}"
"proba2 I3b","col 2 de A^n"
"proba2 I3c","limite matricielle"
"proba2 II1","arbre étiqueté"
"proba2 II2a1","N parmi e"
"proba2 II2a2","(j parmi a)x(N-j parmi e-a)"
"proba2 II2b","expression avec quotients"
"proba2 II2c","limite loi binomiale"
"proba2 II3a","justification par prolifération"
"proba2 II3b","P(X(k;i)) comme une somme"
"proba2 II3c","interprétation matricielle"
"proba2 II4a1","somme des ia(i;j) = j"
"proba2 II4a2","somme i(N-i).. = ((N-1)/N)j(N-j)"
"proba2 II4b1","e_k = i_0"
"proba2 II4b2","e'_k géométrique"
"proba2 II5a","(u_n) croissante"
"proba2 II5b","v_n <= e'_n/(N-1)"
"proba2 II6a","P(X(n;i)) -> 0"
"proba2 II6b","P(X(n;0)) -> 1-i_0/N"
"proba2 II6c","P(X(n;N)) -> i_0/N"
"proba2 II6c","effet de séparation"
"proba2 II7a","w_k = v_{k-1} - v_k"
"proba2 II7b","transfo d'Abel"
"proba2 II7c","majoration"
