"proba3 P1","p^nbF q^nbP"
"proba3 P2","inversibilité VdM"
"proba3 I1a","0 p^2 qp^2"
"proba3 I1b","E_{n+3} = ..."
"proba3 I1c","p_{n+3} = p^2q(1- somme)"
"proba3 I1d1","p_{n+3}=p_{n+2}-p^2qp_n"
"proba3 I1d2","p_0 = p/q"
"proba3 I2a1","U sev dim 3"
"proba3 I2a2","base"
"proba3 I2a2","endomorphisme et matrice"
"proba3 I2b1","div (X-p)(X^2-qX-pq)"
"proba3 I2b2","3 racines"
"proba3 I2c","non inv ssi P(lambda)=0"
"proba3 I2d","base suite géom sauf valeur part"
"proba3 I2d2","matrices"
"proba3 I3","expression p_n"
"proba3 I4a","cvge vers 1"
"proba3 I4b","cvge vers (1+p)/p^2"
"proba3 II11","p_{n+r+1} = ..."
"proba3 II12","en déduire ..."
"proba3 II13","p_0 = p/q"
"proba3 II2a","intervalle par continuité"
"proba3 II2b1","existence dl"
"proba3 II2b2","u_m = u_{m-1} - ..."
"proba3 II2c","produit des dl"
"proba3 II31","Q=p(1-X)/q+p^rX^r"
"proba3 II32","G(1)=1"
"proba3 II33","G'(1) = ..."
