"Epseudosol 1","existence pseudo solution"
"Epseudosol 2","f inj => unicité"
"Epseudosol 31","pseudo sol => "
"Epseudosol 32","orthog => pseudo sol"
"Epseudosol 41","écriture matricielle"
"Epseudosol 42","égalité => pseudo sol"
"Epseudosol 43","pseudo sol => égalité"
"Epseudosol 51","rang f"
"Epseudosol 52","équation image"
"Epseudosol 53","v pas dans image"
"Epseudosol 54","ensemble des pseudo sol"
"Epseudosol 6a1","<=> pseudo sol pour v=c"
"Epseudosol 6a2","matrice de f"
"Epseudosol 6b","injective <=> libre"
"Epseudosol 6c","expression lambda et mu"
