"recipquad 11","transfo Abel"
"recipquad 12a","\lceil x \rceil = min k >= x"
"recipquad 12b","[a;b[ dans Z"
"recipquad 12c","card{ j tq ...}"
"recipquad 12d","domaine somm s(p;q)"
"recipquad 131","s(p;2q)-s(p;q) = ..."
"recipquad 132","q impair => s(p;q) = s(p;2q) mod 2"
"recipquad 14a","ensemb pe inclus dans "
"recipquad 14b","expr s(p;q) avec 2c et transfo Abel"
"recipquad 15a1","encadrement"
"recipquad 15a2","en déduire partie ent sup = (p+1)/2"
"recipquad 15b1","q ne divise pas rp"
"recipquad 15b2","s(p;q)+s(q;p)"
"recipquad 211","mu dans 1 .. p-1"
"recipquad 212","mu def bij"
"recipquad 22","phi injective"
"recipquad 23a","quotient = partie entière inf"
"recipquad 23b","congruence mod 2"
"recipquad 23c","rp o phi(k) = 0 (2)"
"recipquad 24a","v' = v + p et => v et v' de par diff"
"recipquad 24b1","psi injective"
"recipquad 24b2","psi bij à cause du nb d'élts"
"recipquad 31a","(p-1)! congru ..."
"recipquad 31b","petit T Fermat"
"recipquad 32a","congruence mod p par tournicotis du produit"
"recipquad 32b","(-1)^s(p;2q) = q^{(p-1)/2} mod p"
"recipquad 33a","Q3 et Q5"
"recipquad 33b1","déf équivalence"
"recipquad 33b2","vérif; paires "
"recipquad 33b3","partition card"
"recipquad 33c","q ds Q_p => q^{(p-1)/2}=1 mod p"
"recipquad 34","(q/p) = (-1)^s(p;2q)"
"recipquad 35a","(q/p) = (-1)^s(p;q)"
"recipquad 35b","loi réciprocité quad"
"recipquad 36a","(p/3)= 1 <=> p = 1 mod 6"
"recipquad 36b","(-3/p)= 1 <=> p = 1 mod 6"
"recipquad 36c1","diviseurs premiers = 1 mod 6"
"recipquad 36c2","infinité de premiers =1 mod 6"
