"Eresult1 I1a","u linéaire"
"Eresult1 I1b","u bijective => pgcd(P,Q)=1"
"Eresult1 I1c","noyau et bijectivité"
"Eresult1 I2a","matrice"
"Eresult1 I2b","rés non nul ssi prems"
"Eresult1 I3a","res(P,P')"
"Eresult1 I3b","discriminant 4p^3+27q^2"
"Eresult1 II1a","P et Q prems car res = 1"
"Eresult1 II1b1","méthode avec mat"
"Eresult1 II1b2","couple sol"
"Eresult1 II1c","ensemble des sol"
"Eresult1 II2a1","tracé courbe"
"Eresult1 II2a2","branches infinies"
"Eresult1 II2b1","M ds crbe => A,B non prems"
"Eresult1 II2b2","Eq cartésienne"
"Eresult1 II2c","nature conique"
"Eresult1 II31","Polynome"
"Eresult1 II32","Autres racines"
