"ricatti 11","solutions constantes"
"ricatti 12","tan dans ]-pi/2 pi/2["
"ricatti 13","système 1+x^2-y^2  2xy"
"ricatti 14","dérivée nulle"
"ricatti 151","cercle centre rayon"
"ricatti 152","intersections Oy"
"ricatti 21a","solutions k cos^2t"
"ricatti 21b","sols -sin t cos t+k cos^2t"
"ricatti 22a","z(t) neq tan t"
"ricatti 22b","eq diff de 1.b"
"ricatti 22c","z(t)=(tant + il)/(1-iltant)"
"ricatti 23a","z(t) neq tan t"
"ricatti 23b","Montrer que z(t)=tan(t-t_0)"
"ricatti 31a1","gamma neq 1 et w"
"ricatti 31a2","autre expr de w"
"ricatti 31b","alpha beta gamma"
"ricatti 31c","gamma et beta /(1-gamma)"
"ricatti 32","M sur un cercle"
"ricatti 33","X' Y' Z'"
"ricatti 34a","expession de w'"
"ricatti 34b","vérifier formule compliquée"
"ricatti 34c1","expressions de a b c"
"ricatti 34c2","eq 1 pour p=0 q=-2 r=0"
 
