"rouche 01","fonction constante"
"rouche 02","arctan x + arctan 1/x"
"rouche 031","2|z|(cos(phi - t)-1) <= 0"
"rouche 032","|e^{it} - z | >= ..."
"rouche I1","int 0 pi/2 1/(1+r^2-2rcos theta)"
"rouche I2a","A(z) = "
"rouche I2b1","B(z)=0 avec primitive en ln"
"rouche I2b2","A(z) = 1/2 + ..."
"rouche I31","int 0 2pi = 2(int(-) + int(+))"
"rouche I32","En déduire I_0(z)"
"rouche II1","intégrale de 0 à 2 pi nulle"
"rouche II2a","|z|<1 I_0(z) = ..."
"rouche II2b","|z|<1 limite I_0(z) = 1"
"rouche II3a","|z|>1 I_0(z) = ..."
"rouche II3b","|z|>1 limite I_0(z) = 0"
"rouche III1a","sol. évid. gamma -z"
"rouche III1b1","résultat de cours"
"rouche III1b2","expression intégrale"
"rouche III1c","indice entier"
"rouche III2a","justif par continuité sur segment"
"rouche III2b","<= K |z-z'|"
"rouche III3a1","d(x;Gamma)>|x|"
"rouche III3a2","d(x;Gamma) >= d(0;Gamma)"
"rouche III3b","restric. lip."
"rouche III3c","I_gamma <= moyenne/|x|"
"rouche III3d","I_gamma(0) = 0"
"rouche IV11","I_gammaP = somme d'indices"
"rouche IV12","I_gammaP = somme mult dans disq unité"
"rouche IV2a","I_gammaP - I_gammaQ"
"rouche IV2b","I_gammaP = I_gammaQ"
"rouche IV3a","|...| < 1"
"rouche IV3b","I_gammaP(0) = I_gammaQ(0)"
"rouche IV3c","nombre de Pisot"
"rouche V1","intégrale nulle (prim périodique)"
"rouche V21","trajectoire cercle"
"rouche V22","égalité gauche"
"rouche V23","égalité droite"
