"seq8 1a","existe unique alpha_n >0"
"seq8 1b","suite strictement décroissante"
"seq8 1c","existe N tq alpha_n<1 pour n>N"
"seq8 1d1","(alpha_n) converge"
"seq8 1d2","0 <= alpha < 1"
"seq8 1e","convergent vers 0"
"seq8 2a","Expression de g_n(x)"
"seq8 2b","croissante et -> 1/(1-x)^2"
"seq8 3a","1/(1-alpha)^2 <= a"
"seq8 3b","existe beta dans ]0;1["
"seq8 3c1","beta <= alpha"
"seq8 3c2","alpha = 1-1/sqrt{a}"
"seq8 4a","relation entre epsilon_n et alpha_n"
"seq8 4b","équivalent epsilon_n avec alpha_n"
"seq8 4c","epsilon_n équivalent n*2^{-(n+2)}"
