"seq9 1a1","u_1=1/2"
"seq9 1a2","(2n+1)/(2sqrt(n(n+1)))"
"seq9 1b","<= sqrt(n/(2n+1))"
"seq9 1c1","u_n croissante"
"seq9 1c2","u_n maj"
"seq9 1c3","u_n converge"
"seq9 1c4","1/2 <= L"
"seq9 1c5","L <= 1/sqrt(2)"
"seq9 2a","TAF entre bornes bizarres"
"seq9 2b","encadrement u_{k+1}-u_k"
"seq9 2b1","encadrement u_p-u_n par sommation"
"seq9 2c","encadrement L-u_n (limite en p)"
"seq9 2d","encadrement amélioré"
"seq9 3a","n >= 8839 => u_n proche L à 10^(-5)"
"seq9 3b","n >= 67 => u_n accéléré proche L à 10^(-5)"
"seq9 4","L=1/sqrt(pi) par Stirling"
