"seqracalg 1a","unique sol >0 pour E_p"
"seqracalg 1b","x_p(1-x_p^p)=1-x_p"
"seqracalg 1c1","(x_p) décroissante"
"seqracalg 1c2","(x_p) minorée par 0"
"seqracalg 1c3","(x_p) cvge"
"seqracalg 1d1","(x_p^p) cvge vers 0"
"seqracalg 1d2","(x_p) cvge vers 1/2"
"seqracalg 2a","(nq^n) cvge vers 0 (cours)"
"seqracalg 2b","eps_p = x_p^{p+1}"
"seqracalg 2c","preuve de la cvgce vers 0"
"seqracalg 2d","eps_p equivalent à 2^{-(p+1)}"
"seqracalg 3a","f(alpha)=alpha"
"seqracalg 3b","[1/2 1] est stable"
"seqracalg 3c","déf et inég. par TAF"
"seqracalg 3cd","convergence et limite nulle"
"seqracalg 4a","variations de g"
"seqracalg 4b","intervalle stable"
"seqracalg 4c","pairs croiss. impairs décroiss. bornées"
"seqracalg 4d","g(l)=l' et g(l')=l par continuité de g"
"seqracalg 4e","g o g (l)=l"
"seqracalg 4f","équ admet une seule racine réelle"
