"sphertan 1"," r-> n(r) décroissante"
"sphertan 2","n(r) >= 2"
"sphertan 3"," majoration des cos"
"sphertan 4a","r>2sqrt(3)+3 => n(r)=2"
"sphertan 4b","r>sqrt(6)+2 => n(r)<=3"
"sphertan 5 ppe","principe général de la question"
"sphertan 5a1","Rsqrt(3) entre deux sommets"
"sphertan 5a2","r<=2sqrt(3)+3 => n(r)>=3"
"sphertan 5b1","tétraèdre : sqrt(2) entre deux sommets"
"sphertan 5b2","r<=sqrt(6)+2 => n(r)>=4"
"sphertan 5c1","sommets cube : modèle"
"sphertan 5c2","r<=(sqrt(3)+1)/2 => n(r)>=8"
"sphertan 5c3","milieux arêtes cube : modèle"
"sphertan 5c4","r<=1 => n(r)>=12"
"sphertan 5c5","milieux faces cube : modèle"
"sphertan 5c6","r<= sqrt(2)+1 => n(r)>=6"
"sphertan 6a","aire calotte Sigma_i"
"sphertan 6b","n(r)<=a(r)"
"sphertan 7","n(r)<=v(r)=((1+r)^3-1)/r^3"
"sphertan 81","a(r) = 4/r^2 + 8/r + o(1/r)"
"sphertan 82","v(r) = 3/r^2 + 3/r + 1"
"sphertan 83","v(r) meilleur que a(r)"
