"splin3 P1","sev"
"splin3 P2","inclusions"
"splin3 I11","f_0 f_1 f_2 f_3 splines"
"splin3 I12","f_4 spline"
"splin3 I2","cns: beta1 = beta2 ... delta1 = delta2"
"splin3 I3l","libre"
"splin3 I3g","génératrice"
"splin3 I3d","dimension"
"splin3 II1","S pas sev de S'"
"splin3 II21","f tilde de 1 à d dans S'"
"splin3 II21","f_{d+1} dans S'"
"splin3 II3a","existence du d-uplet"
"splin3 II3b","prop de F sur [x_n; x_{n+1}]"
"splin3 II4a","base"
"splin3 II5","dim S_Y = m + 3"
"splin3 III1a","existence famille préduale"
"splin3 III1b1","famille préduale est une base"
"splin3 III1b2","coord ... \alpha_i(x) ..."
"splin3 III1c","a_{p+1} ... a_d base"
"splin3 III1d", dim E - p"
"splin3 III21","définition isomorphisme"
"splin3 III22","dim M = 5n+1
"splin3 III31","famille libre"
"splin3 III32","dim C = 3n + 1"
"splin3 III41","D comme intersection d'hyp."
"splin3 III42","famille libre pour D"
"splin3 III43","dim D = 2n + 2"
"splin3 III44","S comme intersection d'hyp."
"splin3 III45","famille libre pour S"
"splin3 III45","dim S = n + 3"
"splin3 IV1","P(a)= P(b)= ..."
"splin3 IV21","(A1;A2;B1;B2) base"
"splin3 IV22","en déduire isomorphisme"
"splin3 IV3a","max 4(b-a)^3/27"
"splin3 IV3b","majoration"
"splin3 IV4a","existence et unicité polynôme sous cond."
"splin3 IV4b","il existe c tel que ..."
"splin3 IV4c","majoration erreur"
"splin3 V1","plan affine de direction P_0"
"splin3 V21","f' et f" existence"
"splin3 V22","f' et f" unicité"
"splin3 V23","f'(a) et f(b) existence"
"splin3 V24","f'(a) et f(b) unicité"
