"ssgrpr 11","G non discret"
"ssgrpr 12","pas discret coupe interv. de long. alpha"
"ssgrpr 2a1","au plus 1 elt dans l'intersection de G et I"
"ssgrpr 2a2","intersection vide ou finie"
"ssgrpr 2b","existence plus petit élément"
"ssgrpr 2c1","G inclus dans mZ"
"ssgrpr 2c2","mZ inclus dans G"
"ssgrpr 3a1","X et Y sous-groupes"
"ssgrpr 3a2","S sous-groupe"
"ssgrpr 3b1","S discret => x/y rationnel"
"ssgrpr 3b2","x/y rationnel => S discret"
"ssgrpr 4a","intersection de A et B = vide"
"ssgrpr 4b","inf de l'ensemble des |a-b| nul"
"ssgrpr 5","l'ensemble des cos(n) dense dans [0;1]" 
