"subadd I1","prix et suites sous-additives"
"subadd I2","suite cv ou -> + infty est minorée"
"subadd I3a","a_{qn+r}<= qa_n +a_r"
"subadd I3b","Justif. convergence max(a_1 ...a_n)/n"
"subadd I3c1","il existe n_E tel que ..."
"subadd I3c2"," a_n/n -> -infty"
"subadd I3d1","il existe n_epsilon tel que ..."
"subadd I3d2","a_n/n -> alpha"
"subadd I41","u_n^{1/n} convergente"
"subadd I41","limite de u_n^{1/n}"
"subadd II1","pente ssi d_lambda bornée"
"subadd II2","D(jbarre)={0}"
"subadd II3","D(xbarre)dans {-1; 0 } => pente"
"subadd II4","rho sous-add D(rho)"
"subadd II5","alpha pente"
"subadd III1a1","B + u_n sous-additive"
"subadd III1a2","-A - u_n sous-additive"
"subadd III1b","U_+ minoré"
"subadd III1c","u_n/n converge vers u"
"subadd III2a","lambda(n)/n converge"
"subadd III2b1","lambda positif"
"subadd III31","somme de pentes"
"subadd III32","l(lambda + mu)"
"subadd III4a1","expression de la composée"
"subadd III4a2","lambda o mu est une pente"
"subadd III4b","l(lambda o mu)"
