"suitesturm 11","deg(Pm) = 0"
"suitesturm 12","expression des gi"
"suitesturm 13","f_i(x) ou f_{i+1}(x) pas nul"
"suitesturm 14","f_{i-1}(xi)f_{i+1}(xi) < 0"
"suitesturm 211","V(x) = somme..."
"suitesturm 212","V cste par TVI"
"suitesturm 213","existence limites"
"suitesturm 22a","racine de P_0: décrément de 1"
"suitesturm 22b","racine de P_1: conservation"
"suitesturm 22c","nb de racines dans [a;b]"
"suitesturm 231","limites en + et - infini"
"suitesturm 232","+infini; suite coeff dom"
"suitesturm 232","-infini suite coeff dom degré"
"suitesturm 24","cas racines multiples"
"suitesturm 31a1","q: X/4 + 1/16"
"suitesturm 31a2","r: -3(X^2 + 4X +5)/16"
"suitesturm 31b1","q: 4X - 13"
"suitesturm 31b2","r: 32(X+2)"
"suitesturm 31c1","q: X + 2"
"suitesturm 31c2","r: 1"
"suitesturm 321","alg Euclide"
"suitesturm 322","suite Sturm"
"suitesturm 331","[0;2] : 1 = 2 - 1"
"suitesturm 332","R : 2 = 3 - 1"
"suitesturm 34","(X^2-1)(X^2+X+1): vérif"
