"symgen 1a1","1/(1-x): dl"
"symgen 1a2","1/(1-x): justif"
"symgen 1a3","ln(1+x): dl"
"symgen 1a4","ln(1+x): justif"
"symgen 1b","dl 1/(1-ax) ln(1+ax)"
"symgen 2a","1 + sigma1 x + sigma2 x^2 + ..."
"symgen 2b1","justif ln o P déf"
"symgen 2b2","dl ln(1+u) justif ordre 4"
"symgen 2b3","tableau calculs"
"symgen 2b4","s1 ; s2 - s1^2/2"
"symgen 2b5","s3 - s1s2 + s1^3/3"
"symgen 2b6","s4 -s_1s3 -s2^2/2 + s1^2 s2 - s1^4/4"
"symgen 2c1","autre dl + unicité"
"symgen 2c2","S1 S2"
"symgen 2c3","S3"
"symgen 2c4","S4"
