"thean I11","fini ou pas"
"thean I12","existe m"
"thean I13","existe y"
"thean I14","Z_x dans S_m(x) dans Z_y"
"thean I2","développement = S_m(x)"
"thean I3a","encadrement par taf"
"thean I3b","encadrement par sommation"
"thean I3c1","Z_i croiss maj donc cvgte et majoration"
"thean I3c2","inégalité gauche par pli"
"thean I3d","S_m(x) cvgte + inégalité"
"thean I4","somme de termes en prog géom"
"thean I51","encadrement"
"thean I52","limite d'Euler"
"thean II1a","taf pour ln"
"thean II1b","a => u_n décroissante"
"thean II1c","\frac{1}{n} \leq u_n"
"thean II1d","(u_n) cvgte"
"thean II21","x+ln(1-x)+x^2/(2(1-x)) \geq 0"
"thean II22","en déduire ..."
"thean II31","w_n croissante"
"thean II32","0 <= Z_n-ln(n)-gamma <= 1/(2n)"
"thean II41","x+ln(1-x)+x^2/(2(1+x)) \leq 0"
"thean II42","en déduire et  décroissante"
"thean II43","équivalence Z_n-ln(n)-gamma et 1/(2n)"
"thean III1","cours"
"thean III21","D(x): nb e pts au dessous de hyperbole"
"thean III22","ordo ? = partie entière de x/m"
"thean III23","relation"
"thean III3","encadrement"
"thean III4","preuve de la domination du reste"
"thean IV1","inégalité pour n=2"
"thean IV2","si n pair: n-1 => n"
"thean IV3a","m parmi 2m+1 <= 4^m"
"thean IV3b","p divise m parmi 2m+1"
"thean IV3c","majoration"
"thean IV4","inégalité Cheby"
