"trfoudi 1a1","omega_4=i"
"trfoudi 1a2","image par F_4"
"trfoudi 1b","matrice M_4"
"trfoudi 1c1","M_4 * conj(M_4)"
"trfoudi 1c2","inverse de M_4"
"trfoudi 1d1","M_4^2"
"trfoudi 1d2","M_4^4"
"trfoudi 2a","F_n bijective"
"trfoudi 2b","terme ij : w^(i-1)(j-1)"
"trfoudi 2c","somme = 1 ou n"
"trfoudi 2d1","pdt M_n conj(M_n)"
"trfoudi 2d2","transformée inverse de F_n"
"trfoudi 2e1","écriture de M_n^2"
"trfoudi 2e2","effet de F_n^2 sur base"
"trfoudi 2e3","F_n^4 = n^2 Id"
"trfoudi 3a1","F(e_1+e_{n-1})= 2u"
"trfoudi 3a2","F(e_1-e_{n-1})= 2iv"
"trfoudi 3a3","F(u)= n/2(e_1+e_{n-1})"
"trfoudi 3a4","F(v)= in/2(e_1-e_{n-1})"
"trfoudi 34b1","F(u_+)= \sqrt{n}u_+"
"trfoudi 34b2","F(u_-)= -\sqrt{n}u_-"
"trfoudi 34b3","F(v_+)= i\sqrt{n}v_+"
"trfoudi 34b3","F(v_-)= -i\sqrt{n}v_-"
"trfoudi 4a","A=B(X^2)+XC(X^2)"
"trfoudi 4b1","A(w^k)"
"trfoudi 4b2","A(W^{n/2 + k})"
"trfoudi 4c","explication du calcul récursif"
"trfoudi 4d","formule complexité du calcul récursif"
"trfoudi 4e1","u_N = 3/2 N 2^N"
"trfoudi 4e2","u_N = 3/(2\ln 2) n ln(n)"
"trfoudi 5a","F(r)=F(p)F(q)"
"trfoudi 5b","nb opérations calcul usuel"
"trfoudi 5c","nb opérations par trans. Fourier discrète"
"trfoudi 5d","Conclusion"
