"valeabineg I1a","dérivées f"
"valeabineg I1b","k parmi r+k-1"
"valeabineg I2a1","bijection"
"valeabineg I2a2","1/(1-t) = (phi - 1)/(x-1)"
"valeabineg I2b","chgt var"
"valeabineg I3a","1/2 + 1/3 + ... <=\ln n"
"valeabineg I3b","ln(1+x) <= x"
"valeabineg I3c","n parmi r+n <= (ne)^r"
"valeabineg I3d","encadre intégrale"
"valeabineg I41","manip coeff bin"
"valeabineg I42","f de Taylor"
"valeabineg I43","encadrement reste"
"valeabineg I5a","dérivée reste"
"valeabineg I5b1","reste ->0"
"valeabineg I5b2","dérivées -> 0"
"valeabineg I5c","somme géométrique usuelle"
"valeabineg II1","fonction génératrice"
"valeabineg II2a","E(X) expr u_n"
"valeabineg II2b","E(X(X-1)) expr v_n"
"valeabineg II2c","V(X) expr w_n"
"valeabineg II31","espérance -> 1/p"
"valeabineg II32","variance -> q/p^2"
"valeabineg III1","S_{1;n} géométrique"
"valeabineg III2a","r ... r+n"
"valeabineg III2b","r-1 parmi k-1 p^r q^{k-r}"
"valeabineg III3a","dev Taylor f_r"
"valeabineg III3b1","f géné et Taylor"
"valeabineg III3b2","en déd p(S_{r;n} = 0)"
"valeabineg III4","espérance" 
"valeabineg III5a","somme = S_{r;n}"
"valeabineg III5b1","loi de Y_i"
"valeabineg III5b2","autre manière de calculer espérance"
"valeabineg IV1","T stochastique"
"valeabineg IV2a1","blocs"
"valeabineg IV2a2","C = (I-Q)U"
"valeabineg IV2b","expres T^n"
"valeabineg IV3a","L_n = L_0 T^n"
"valeabineg IV3b","p(A_n) pdt matriciel"
"valeabineg IV4a","(X>n) = complément de A_n"
"valeabineg IV4b","loi de X"
"valeabineg IV5a","Q^k avec des coeff bin"
"valeabineg IV5b","modèle pour attente r-ième succ" 
