"varbor I11","|f(b) – f(a)| variation"
"varbor I12","justif définition"
"varbor I2a","f constante variation nulle"
"varbor I2b1","K-lip => var bor"
"varbor I2b2","C^1 => k-lip => var bor"
"varbor I2c","var bor si Omega fini ou intervalle"
"varbor I3a1","f continue dans [-1;0["
"varbor I3a2","f continue en 0"
"varbor I3b1","TAF racine k k+1"
"varbor I3b2","minoration et divergence"
"varbor I3c","f n'est pas à var bor"
"varbor I4a","var bor => bornée"
"varbor I4b1","linéarité"
"varbor I4b2","produit"
"varbor I4b3","valeur absolue"
"varbor I4b4","sup et inf"
"varbor II1a1","Monotone => une seule variation"
"varbor II1a2","monotone variation totale= accr"
"varbor II1b","Croiss + décroiss =>  var bor"
"varbor II2","unique var => monotone"
"varbor II3a","var bor => restrict var bor"
"varbor II3b1","Chasles var tot V(u;v)+V(v;w) >= "
"varbor II3b2","Chasles var tot V(u;v)+V(v;w) <= "
"varbor II41","W1 croissante"
"varbor II42","w2 croissante"
"varbor II43","var bor <=> crois + dec"
"varbor II5a","f continue => W_1 continue"
"varbor II5b","W_1 continue => f continue"
